Product ID,Name,stock,ETA
ALG-998GW-34,Alegria ,0,
ALG-998GW-35,Alegria ,0,
ALG-998GW-36,Alegria ,88,
ALG-998GW-37,Alegria ,161,
ALG-998GW-38,Alegria ,305,
ALG-998GW-39,Alegria ,343,
ALG-998GW-40,Alegria ,247,
ALG-998GW-41,Alegria ,167,
ALG-998GW-42,Alegria ,31,
ALG-998GW-43,Alegria ,0,
ALG-998W-35,Alegria ,0,Jul 20 2017
ALG-998W-36,Alegria ,39,Jul 20 2017
ALG-998W-37,Alegria ,65,Jul 20 2017
ALG-998W-38,Alegria ,104,Jul 20 2017
ALG-998W-39,Alegria ,96,Jul 20 2017
ALG-998W-40,Alegria ,191,Jul 20 2017
ALG-998W-41,Alegria ,48,Jul 20 2017
ALG-998W-42,Alegria ,0,Jul 20 2017
ALG-999-35,Alegria ,96,
ALG-999-36,Alegria ,0,
ALG-999-37,Alegria ,190,
ALG-999-38,Alegria ,882,
ALG-999-39,Alegria ,1314,
ALG-999-40,Alegria ,1207,
ALG-999-41,Alegria ,1744,
ALG-999-42,Alegria ,2004,
ALG-999-34,Alegria ,0,
ALG-999-43,Alegria ,256,
ALG-999G-34,Alegria ,0,
ALG-999G-35,Alegria ,26,
ALG-999G-36,Alegria ,106,
ALG-999G-37,Alegria ,449,
ALG-999G-38,Alegria ,616,
ALG-999G-39,Alegria ,450,
ALG-999G-40,Alegria ,366,
ALG-999G-41,Alegria ,334,
ALG-999G-42,Alegria ,281,
ALG-999G-43,Alegria ,18,
ALG-999GW-34,Alegria ,0,
ALG-999GW-35,Alegria ,0,
ALG-999GW-36,Alegria ,84,
ALG-999GW-37,Alegria ,229,
ALG-999GW-38,Alegria ,308,
ALG-999GW-39,Alegria ,303,
ALG-999GW-40,Alegria ,265,
ALG-999GW-41,Alegria ,201,
ALG-999GW-42,Alegria ,160,
ALG-999GW-43,Alegria ,61,
ALG-999W-35,Alegria ,373,Sep 30 2017
ALG-999W-36,Alegria ,1569,Sep 30 2017
ALG-999W-37,Alegria ,2697,Sep 30 2017
ALG-999W-38,Alegria ,4375,Sep 30 2017
ALG-999W-39,Alegria ,4165,Sep 30 2017
ALG-999W-40,Alegria ,3478,Sep 30 2017
ALG-999W-41,Alegria ,2404,Sep 30 2017
ALG-999W-42,Alegria ,2435,Sep 30 2017
ALG-999W-34,Alegria ,0,Sep 30 2017
ALG-999W-43,Alegria ,276,Sep 30 2017
ALG-ALL-011-34,Alegria ,0,
ALG-ALL-011-35,Alegria ,0,
ALG-ALL-011-36,Alegria ,0,
ALG-ALL-011-37,Alegria ,0,
ALG-ALL-011-38,Alegria ,0,
ALG-ALL-011-39,Alegria ,0,
ALG-ALL-011-40,Alegria ,0,
ALG-ALL-011-41,Alegria ,0,
ALG-ALL-011-42,Alegria ,0,
ALG-ALL-011-43,Alegria ,0,
ALG-ALL-386-35,Alegria ,0,
ALG-ALL-386-36,Alegria ,0,
ALG-ALL-386-37,Alegria ,0,
ALG-ALL-386-38,Alegria ,0,
ALG-ALL-386-39,Alegria ,0,
ALG-ALL-386-40,Alegria ,0,
ALG-ALL-386-41,Alegria ,0,
ALG-ALL-386-42,Alegria ,0,
ALG-ALL-413-35,Alegria ,19,
ALG-ALL-413-36,Alegria ,41,
ALG-ALL-413-37,Alegria ,75,
ALG-ALL-413-38,Alegria ,67,
ALG-ALL-413-39,Alegria ,62,
ALG-ALL-413-40,Alegria ,31,
ALG-ALL-413-41,Alegria ,8,
ALG-ALL-413-42,Alegria ,0,
ALG-ALL-413-43,Alegria ,0,
ALG-ALL-431-34,Alegria ,0,
ALG-ALL-431-35,Alegria ,9,
ALG-ALL-431-36,Alegria ,20,
ALG-ALL-431-37,Alegria ,55,
ALG-ALL-431-38,Alegria ,108,
ALG-ALL-431-39,Alegria ,94,
ALG-ALL-431-40,Alegria ,82,
ALG-ALL-431-41,Alegria ,70,
ALG-ALL-431-42,Alegria ,40,
ALG-ALL-431-43,Alegria ,0,
ALG-ALL-433-34,Alegria ,0,
ALG-ALL-433-35,Alegria ,0,
ALG-ALL-433-36,Alegria ,0,
ALG-ALL-433-37,Alegria ,0,
ALG-ALL-433-38,Alegria ,0,
ALG-ALL-433-39,Alegria ,0,
ALG-ALL-433-40,Alegria ,0,
ALG-ALL-433-41,Alegria ,0,
ALG-ALL-433-42,Alegria ,0,
ALG-ALL-433-43,Alegria ,0,
ALG-ALL-554-34,Alegria ,0,
ALG-ALL-554-35,Alegria ,0,
ALG-ALL-554-36,Alegria ,0,
ALG-ALL-554-37,Alegria ,0,
ALG-ALL-554-38,Alegria ,0,
ALG-ALL-554-39,Alegria ,0,
ALG-ALL-554-40,Alegria ,0,
ALG-ALL-554-41,Alegria ,0,
ALG-ALL-554-42,Alegria ,0,
ALG-ALL-554-43,Alegria ,0,
ALG-ALL-571-35,Alegria ,143,
ALG-ALL-571-36,Alegria ,91,
ALG-ALL-571-37,Alegria ,238,
ALG-ALL-571-38,Alegria ,289,
ALG-ALL-571-39,Alegria ,229,
ALG-ALL-571-40,Alegria ,128,
ALG-ALL-571-41,Alegria ,60,
ALG-ALL-571-42,Alegria ,20,
ALG-ALL-574-34,Alegria ,0,
ALG-ALL-574-35,Alegria ,8,
ALG-ALL-574-36,Alegria ,56,
ALG-ALL-574-37,Alegria ,85,
ALG-ALL-574-38,Alegria ,97,
ALG-ALL-574-39,Alegria ,122,
ALG-ALL-574-40,Alegria ,34,
ALG-ALL-574-41,Alegria ,7,
ALG-ALL-574-42,Alegria ,8,
ALG-ALL-574-43,Alegria ,0,
ALG-ALL-576-34,Alegria ,0,
ALG-ALL-576-35,Alegria ,15,
ALG-ALL-576-36,Alegria ,36,
ALG-ALL-576-37,Alegria ,71,
ALG-ALL-576-38,Alegria ,113,
ALG-ALL-576-39,Alegria ,112,
ALG-ALL-576-40,Alegria ,91,
ALG-ALL-576-41,Alegria ,50,
ALG-ALL-576-42,Alegria ,21,
ALG-ALL-576-43,Alegria ,0,
ALG-ALL-640-35,Alegria ,30,Jul 30 2017
ALG-ALL-640-36,Alegria ,63,Jul 30 2017
ALG-ALL-640-37,Alegria ,105,Jul 30 2017
ALG-ALL-640-38,Alegria ,111,Jul 30 2017
ALG-ALL-640-39,Alegria ,89,Jul 30 2017
ALG-ALL-640-40,Alegria ,38,Jul 30 2017
ALG-ALL-640-41,Alegria ,18,Jul 30 2017
ALG-ALL-640-42,Alegria ,0,Jul 30 2017
ALG-ALL-640-43,Alegria ,0,Jul 30 2017
ALG-ALL-741-34,Alegria ,0,
ALG-ALL-741-35,Alegria ,0,
ALG-ALL-741-36,Alegria ,0,
ALG-ALL-741-37,Alegria ,0,
ALG-ALL-741-38,Alegria ,0,
ALG-ALL-741-39,Alegria ,0,
ALG-ALL-741-40,Alegria ,0,
ALG-ALL-741-41,Alegria ,0,
ALG-ALL-741-42,Alegria ,0,
ALG-ALL-741-43,Alegria ,0,
ALG-ALR-471-35,Alegria ,0,
ALG-ALR-471-36,Alegria ,0,
ALG-ALR-471-37,Alegria ,0,
ALG-ALR-471-38,Alegria ,0,
ALG-ALR-471-39,Alegria ,0,
ALG-ALR-471-40,Alegria ,0,
ALG-ALR-471-41,Alegria ,0,
ALG-ALR-471-42,Alegria ,0,
ALG-ALR-471-43,Alegria ,0,
ALG-ARI-147-35,Alegria ,0,Aug 17 2017
ALG-ARI-147-36,Alegria ,0,Aug 17 2017
ALG-ARI-147-37,Alegria ,0,Aug 17 2017
ALG-ARI-147-38,Alegria ,0,Aug 17 2017
ALG-ARI-147-39,Alegria ,0,Aug 17 2017
ALG-ARI-147-40,Alegria ,0,Aug 17 2017
ALG-ARI-147-41,Alegria ,0,Aug 17 2017
ALG-ARI-147-42,Alegria ,0,Aug 17 2017
ALG-ARI-147-43,Alegria ,0,Aug 17 2017
ALG-ARI-346-34,Alegria ,0,
ALG-ARI-346-35,Alegria ,19,
ALG-ARI-346-36,Alegria ,60,
ALG-ARI-346-37,Alegria ,80,
ALG-ARI-346-38,Alegria ,114,
ALG-ARI-346-39,Alegria ,121,
ALG-ARI-346-40,Alegria ,92,
ALG-ARI-346-41,Alegria ,77,
ALG-ARI-346-42,Alegria ,34,
ALG-ARI-346-43,Alegria ,0,
ALG-ARI-445-35,Alegria ,0,Aug 17 2017
ALG-ARI-445-36,Alegria ,0,Aug 17 2017
ALG-ARI-445-37,Alegria ,0,Aug 17 2017
