REC-TYPE,VENDOR SKU NO,HOST SKU NO,UPC,ON HAND QTY,ON HAND DATE,BACKORDER QTY,BACKORDER DATE,EXPECTED QTY,EXPECTED DATE
IR,ALG-511_40,,693016253074,0,,,,,
IR,ALG-511_41,,693016253081,0,,,,,
IR,ALG-511_42,,693016253098,0,,,,,
IR,ALG-531_35,,693016266128,43,,,,,
IR,ALG-531_36,,693016266135,110,,,,,
IR,ALG-531_37,,693016266142,205,,,,,
IR,ALG-531_38,,693016266159,216,,,,,
IR,ALG-531_39,,693016266166,326,,,,,
IR,ALG-531_40,,693016266173,255,,,,,
IR,ALG-531_41,,693016266180,158,,,,,
IR,ALG-531_42,,693016266197,66,,,,,
IR,ALG-532_35,,693016266203,25,,,,,
IR,ALG-532_36,,693016266210,10,,,,,
IR,ALG-532_37,,693016266227,0,,,,,
IR,ALG-532_38,,693016266234,0,,,,,
IR,ALG-532_39,,693016266241,2,,,,,
IR,ALG-532_40,,693016266258,0,,,,,
IR,ALG-532_41,,693016266265,0,,,,,
IR,ALG-532_42,,693016266272,0,,,,,
IR,ALG-542_34,,693016533084,0,,,,,
IR,ALG-542_35,,693016533091,21,,,,,
IR,ALG-542_36,,693016533107,23,,,,,
IR,ALG-542_37,,693016533114,0,,,,,
IR,ALG-542_38,,693016533121,67,,,,,
IR,ALG-542_39,,693016533138,0,,,,,
IR,ALG-542_40,,693016533145,0,,,,,
IR,ALG-542_41,,693016533152,17,,,,,
IR,ALG-542_42,,693016533169,11,,,,,
IR,ALG-542_43,,693016533176,0,,,,,
IR,ALG-570_35,,693016609048,17,,,,,
IR,ALG-570_36,,693016609055,21,,,,,
IR,ALG-570_37,,693016609062,46,,,,,
IR,ALG-570_38,,693016609079,55,,,,,
IR,ALG-570_39,,693016609086,42,,,,,
IR,ALG-570_40,,693016609093,24,,,,,
IR,ALG-570_41,,693016609109,12,,,,,
IR,ALG-570_42,,693016609116,0,,,,,
IR,ALG-570_43,,693016609123,0,,,,,
IR,ALG-575_34,,693016569700,0,,,,,
IR,ALG-575_35,,693016569717,12,,,,,
IR,ALG-575_36,,693016569724,28,,,,,
IR,ALG-575_37,,693016569731,59,,,,,
IR,ALG-575_38,,693016569748,58,,,,,
IR,ALG-575_39,,693016569755,71,,,,,
IR,ALG-575_40,,693016569762,60,,,,,
IR,ALG-575_41,,693016569779,49,,,,,
IR,ALG-575_42,,693016569786,30,,,,,
IR,ALG-575_43,,693016569793,0,,,,,
IR,ALG-601_35,,693016214464,30,,,,,
IR,ALG-601_36,,693016208494,2,,,,,
IR,ALG-601_37,,693016208500,11,,,,,
IR,ALG-601_38,,693016208517,3,,,,,
IR,ALG-601_39,,693016208524,68,,,,,
IR,ALG-601_40,,693016208531,0,,,,,
IR,ALG-601_41,,693016208548,0,,,,,
IR,ALG-601_42,,693016208555,0,,,,,
IR,ALG-631_35,,693016272846,0,,,,,
IR,ALG-631_36,,693016272853,0,,,,,
IR,ALG-631_37,,693016272860,0,,,,,
IR,ALG-631_38,,693016272877,0,,,,,
IR,ALG-631_39,,693016272884,0,,,,,
IR,ALG-631_40,,693016272891,0,,,,,
IR,ALG-631_41,,693016272907,0,,,,,
IR,ALG-631_42,,693016272914,0,,,,,
IR,ALG-637_35,,693016273003,49,,,,,
IR,ALG-637_36,,693016273010,0,,,,,
IR,ALG-637_37,,693016273027,0,,,,,
IR,ALG-637_38,,693016273034,0,,,,,
IR,ALG-637_39,,693016273041,0,,,,,
