itemNo,color,size,upc,inStock,wholesalePrice,retailPrice,eta
ALG-422,Classic Molasses Tooled,34,693016569502,0,54.50,119.95,
ALG-422,Classic Molasses Tooled,35,693016569519,20,54.50,119.95,
ALG-422,Classic Molasses Tooled,36,693016569526,61,54.50,119.95,
ALG-422,Classic Molasses Tooled,37,693016569533,139,54.50,119.95,
ALG-422,Classic Molasses Tooled,38,693016569540,174,54.50,119.95,
ALG-422,Classic Molasses Tooled,39,693016569557,199,54.50,119.95,
ALG-422,Classic Molasses Tooled,40,693016569564,123,54.50,119.95,
ALG-422,Classic Molasses Tooled,41,693016569571,77,54.50,119.95,
ALG-422,Classic Molasses Tooled,42,693016569588,10,54.50,119.95,
ALG-422,Classic Molasses Tooled,43,693016569595,0,54.50,119.95,
ALG-425,Classic Teal Tooled,34,693016570003,0,54.50,119.95,
ALG-425,Classic Teal Tooled,35,693016570010,14,54.50,119.95,
ALG-425,Classic Teal Tooled,36,693016570027,31,54.50,119.95,
ALG-425,Classic Teal Tooled,37,693016570034,54,54.50,119.95,
ALG-425,Classic Teal Tooled,38,693016570041,77,54.50,119.95,
ALG-425,Classic Teal Tooled,39,693016570058,101,54.50,119.95,
ALG-425,Classic Teal Tooled,40,693016570065,67,54.50,119.95,
ALG-425,Classic Teal Tooled,41,693016570072,34,54.50,119.95,
ALG-425,Classic Teal Tooled,42,693016570089,13,54.50,119.95,
ALG-425,Classic Teal Tooled,43,693016570096,0,54.50,119.95,
ALG-429,Classic Tar Tooled,34,693016569908,0,54.50,119.95,
ALG-429,Classic Tar Tooled,35,693016569915,15,54.50,119.95,
ALG-429,Classic Tar Tooled,36,693016569922,45,54.50,119.95,
ALG-429,Classic Tar Tooled,37,693016569939,29,54.50,119.95,
ALG-429,Classic Tar Tooled,38,693016569946,20,54.50,119.95,
ALG-429,Classic Tar Tooled,39,693016569953,9,54.50,119.95,
ALG-429,Classic Tar Tooled,40,693016569960,23,54.50,119.95,
ALG-429,Classic Tar Tooled,41,693016569977,13,54.50,119.95,
ALG-429,Classic Tar Tooled,42,693016569984,0,54.50,119.95,
ALG-429,Classic Tar Tooled,43,693016569991,0,54.50,119.95,
ALG-434,Classic Safari,34,693016504152,0,34.50,69.00,
ALG-434,Classic Safari,35,693016504169,0,34.50,69.00,
ALG-434,Classic Safari,36,693016504176,0,34.50,69.00,
ALG-434,Classic Safari,37,693016504183,0,34.50,69.00,
ALG-434,Classic Safari,38,693016504190,0,34.50,69.00,
ALG-434,Classic Safari,39,693016504206,0,34.50,69.00,
ALG-434,Classic Safari,40,693016504213,0,34.50,69.00,
ALG-434,Classic Safari,41,693016504220,0,34.50,69.00,
ALG-434,Classic Safari,42,693016504237,0,34.50,69.00,
ALG-434,Classic Safari,43,693016504244,0,34.50,69.00,
ALG-435,Classic Delicut,35,693016609345,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,36,693016609352,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,37,693016609369,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,38,693016609376,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,39,693016609383,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,40,693016609390,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,41,693016609406,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,42,693016609413,0,54.50,119.95,Jul 15 2017
ALG-435,Classic Delicut,43,693016609420,0,54.50,119.95,Jul 15 2017
ALG-511,Classic Black Tooled,35,693016253029,0,34.50,69.95,
ALG-511,Classic Black Tooled,36,693016253036,0,34.50,69.95,
ALG-511,Classic Black Tooled,37,693016253043,0,34.50,69.95,
ALG-511,Classic Black Tooled,38,693016253050,0,34.50,69.95,
ALG-511,Classic Black Tooled,39,693016253067,0,34.50,69.95,
ALG-511,Classic Black Tooled,40,693016253074,0,34.50,69.95,
ALG-511,Classic Black Tooled,41,693016253081,0,34.50,69.95,
ALG-511,Classic Black Tooled,42,693016253098,0,34.50,69.95,
ALG-531,Classic Black Emboss Rose,35,693016266128,43,54.50,119.95,
ALG-531,Classic Black Emboss Rose,36,693016266135,110,54.50,119.95,
ALG-531,Classic Black Emboss Rose,37,693016266142,205,54.50,119.95,
ALG-531,Classic Black Emboss Rose,38,693016266159,216,54.50,119.95,
ALG-531,Classic Black Emboss Rose,39,693016266166,326,54.50,119.95,
ALG-531,Classic Black Emboss Rose,40,693016266173,255,54.50,119.95,
ALG-531,Classic Black Emboss Rose,41,693016266180,158,54.50,119.95,
ALG-531,Classic Black Emboss Rose,42,693016266197,66,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,35,693016266203,25,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,36,693016266210,10,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,37,693016266227,0,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,38,693016266234,0,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,39,693016266241,2,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,40,693016266258,0,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,41,693016266265,0,54.50,119.95,
ALG-532,Classic Brown Emboss Rose,42,693016266272,0,54.50,119.95,
ALG-542,Classic Pro Surreally Pretty,34,693016533084,0,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,35,693016533091,21,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,36,693016533107,23,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,37,693016533114,0,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,38,693016533121,67,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,39,693016533138,0,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,40,693016533145,0,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,41,693016533152,17,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,42,693016533169,11,54.50,119.95,Jul 21 2017
ALG-542,Classic Pro Surreally Pretty,43,693016533176,0,54.50,119.95,Jul 21 2017
ALG-570,Classic Blue Romance,35,693016609048,17,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,36,693016609055,21,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,37,693016609062,46,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,38,693016609079,55,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,39,693016609086,42,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,40,693016609093,24,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,41,693016609109,12,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,42,693016609116,0,54.50,119.95,Jul 15 2017
ALG-570,Classic Blue Romance,43,693016609123,0,54.50,119.95,Jul 15 2017
ALG-575,Classic Tan Yeehaw,34,693016569700,0,54.50,119.95,
ALG-575,Classic Tan Yeehaw,35,693016569717,12,54.50,119.95,
ALG-575,Classic Tan Yeehaw,36,693016569724,28,54.50,119.95,
ALG-575,Classic Tan Yeehaw,37,693016569731,59,54.50,119.95,
ALG-575,Classic Tan Yeehaw,38,693016569748,58,54.50,119.95,
ALG-575,Classic Tan Yeehaw,39,693016569755,71,54.50,119.95,
ALG-575,Classic Tan Yeehaw,40,693016569762,60,54.50,119.95,
ALG-575,Classic Tan Yeehaw,41,693016569779,49,54.50,119.95,
ALG-575,Classic Tan Yeehaw,42,693016569786,30,54.50,119.95,
ALG-575,Classic Tan Yeehaw,43,693016569793,0,54.50,119.95,
ALG-601,Classic Black Napa,35,693016214464,30,54.50,119.95,
ALG-601,Classic Black Napa,36,693016208494,2,54.50,119.95,
ALG-601,Classic Black Napa,37,693016208500,11,54.50,119.95,
ALG-601,Classic Black Napa,38,693016208517,3,54.50,119.95,
ALG-601,Classic Black Napa,39,693016208524,68,54.50,119.95,
ALG-601,Classic Black Napa,40,693016208531,0,54.50,119.95,
ALG-601,Classic Black Napa,41,693016208548,0,54.50,119.95,
ALG-601,Classic Black Napa,42,693016208555,0,54.50,119.95,
ALG-631,Classic Dusty Black,35,693016272846,0,54.50,119.95,
ALG-631,Classic Dusty Black,36,693016272853,0,54.50,119.95,
ALG-631,Classic Dusty Black,37,693016272860,0,54.50,119.95,
ALG-631,Classic Dusty Black,38,693016272877,0,54.50,119.95,
ALG-631,Classic Dusty Black,39,693016272884,0,54.50,119.95,
ALG-631,Classic Dusty Black,40,693016272891,0,54.50,119.95,
ALG-631,Classic Dusty Black,41,693016272907,0,54.50,119.95,
ALG-631,Classic Dusty Black,42,693016272914,0,54.50,119.95,
ALG-637,Classic Dusty Cognac,35,693016273003,49,34.50,119.95,
ALG-637,Classic Dusty Cognac,36,693016273010,0,34.50,119.95,
ALG-637,Classic Dusty Cognac,37,693016273027,0,34.50,119.95,
ALG-637,Classic Dusty Cognac,38,693016273034,0,34.50,119.95,
ALG-637,Classic Dusty Cognac,39,693016273041,0,34.50,119.95,
