CATALOG,SELECTION CODE,SELECTION CODE DESCRIPTION,PRODUCT ID,PRODUCT [ID] DESCRIPTION,UPC,VENDOR PART NUMBER,VENDOR PART DESCRIPTION,NRF COLOR CODE,PRODUCT COLOR DESCRIPTION,NRF SIZE CODE,PRODUCT SIZE DESCRIPTION,PRODUCT FABRIC DESCRIPTION,AVAILABLE DATE,DISCONTINUE DATE,MINIMIUM ORDER QTY,MAXIMUM ORDER QTY,REORDERABLE PRODUCT,SEASONAL AVAILABILITY,COUNTRY OF ORIGIN,INNER PACK QTY,OUTER PACK QTY,ORDER LEAD TIME,ORDER LEAD TIME CODE,ITEM EXTENDED DESCRIPTION,IMAGE URL,PRICE QUALIFIER 1,PRICE AMOUNT 1
CATALOG,ALG,Alegria Shoes,ALG-205_41,Classic Soft Bronze,693016252206,,,,Classic Soft Bronze,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-205_42,Classic Soft Bronze,693016252213,,,,Classic Soft Bronze,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_35,Classic Soft Pewter,693016252220,,,,Classic Soft Pewter,52145,35,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_36,Classic Soft Pewter,693016252237,,,,Classic Soft Pewter,52146,36,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_37,Classic Soft Pewter,693016252244,,,,Classic Soft Pewter,52147,37,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_38,Classic Soft Pewter,693016252251,,,,Classic Soft Pewter,52148,38,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_39,Classic Soft Pewter,693016252268,,,,Classic Soft Pewter,52149,39,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_40,Classic Soft Pewter,693016252275,,,,Classic Soft Pewter,52150,40,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_41,Classic Soft Pewter,693016252282,,,,Classic Soft Pewter,52151,41,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-206_42,Classic Soft Pewter,693016252299,,,,Classic Soft Pewter,52152,42,Leather,,,1,,Y,,China,,,,,,,69.95,34.50
CATALOG,ALG,Alegria Shoes,ALG-207_34,Classic Prismatic,693016519682,,,,Classic Prismatic,52144,34,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_35,Classic Prismatic,693016519699,,,,Classic Prismatic,52145,35,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_36,Classic Prismatic,693016519705,,,,Classic Prismatic,52146,36,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_37,Classic Prismatic,693016519712,,,,Classic Prismatic,52147,37,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_38,Classic Prismatic,693016519729,,,,Classic Prismatic,52148,38,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_39,Classic Prismatic,693016519736,,,,Classic Prismatic,52149,39,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_40,Classic Prismatic,693016519743,,,,Classic Prismatic,52150,40,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_41,Classic Prismatic,693016519750,,,,Classic Prismatic,52151,41,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
CATALOG,ALG,Alegria Shoes,ALG-207_42,Classic Prismatic,693016519767,,,,Classic Prismatic,52152,42,Leather,,,1,,Y,,China,,,,,,,119.95,54.50
