productcode,stockstatus,upc_code
ALG-ARI-346-43,0,693016580750
ALG-ARI-445-35,0,693016619467
ALG-ARI-445-36,0,693016619474
ALG-ARI-445-37,0,693016619481
ALG-ARI-445-38,0,693016619498
ALG-ARI-445-39,0,693016619504
ALG-ARI-445-40,0,693016619511
ALG-ARI-445-41,0,693016619528
ALG-ARI-445-42,0,693016619535
ALG-ARI-445-43,0,693016619542
ALG-ARI-471-35,0,693016626434
ALG-ARI-471-36,0,693016626441
ALG-ARI-471-37,0,693016626458
ALG-ARI-471-38,0,693016626465
ALG-ARI-471-39,0,693016626472
ALG-ARI-471-40,0,693016626489
ALG-ARI-471-41,0,693016626496
ALG-ARI-471-42,0,693016626502
ALG-ARI-471-43,0,693016626519
ALG-ARI-472-35,0,693016619665
ALG-ARI-472-36,0,693016619672
ALG-ARI-472-37,0,693016619689
ALG-ARI-472-38,0,693016619696
ALG-ARI-472-39,0,693016619702
ALG-ARI-472-40,0,693016619719
ALG-ARI-472-41,0,693016619726
ALG-ARI-472-42,0,693016619733
ALG-ARI-472-43,0,693016619740
ALG-ARI-601-34,0,693016580460
ALG-ARI-601-35,7,693016580477
ALG-ARI-601-36,4,693016580484
ALG-ARI-601-37,0,693016580491
ALG-ARI-601-38,0,693016580507
ALG-ARI-601-39,5,693016580514
ALG-ARI-601-40,3,693016580521
ALG-ARI-601-41,0,693016580538
ALG-ARI-601-42,0,693016580545
ALG-ARI-601-43,0,693016580552
ALG-ARI-882-34,0,693016580569
ALG-ARI-882-35,12,693016580576
ALG-ARI-882-36,7,693016580583
ALG-ARI-882-37,30,693016580590
ALG-ARI-882-38,38,693016580606
ALG-ARI-882-39,27,693016580613
ALG-ARI-882-40,4,693016580620
ALG-ARI-882-41,0,693016580637
ALG-ARI-882-42,0,693016580644
ALG-ARI-882-43,0,693016580651
ALG-ASH-661-34,0,693016530380
ALG-ASH-661-35,0,693016530397
ALG-ASH-661-36,0,693016530403
ALG-ASH-661-37,0,693016530410
ALG-ASH-661-38,0,693016530427
ALG-ASH-661-39,0,693016530434
ALG-ASH-661-40,0,693016530441
ALG-ASH-661-41,0,693016530458
ALG-ASH-661-42,0,693016530465
ALG-ASH-661-43,0,693016530472
ALG-AVA-101-35,0,693016291205
ALG-AVA-101-36,0,693016291212
ALG-AVA-101-37,0,693016291229
ALG-AVA-101-38,0,693016291236
ALG-AVA-101-39,0,693016291243
ALG-AVA-101-40,0,693016291250
ALG-AVA-101-41,0,693016291267
ALG-AVA-101-42,0,693016291274
ALG-AVA-601-35,0,693016291281
ALG-AVA-601-36,0,693016291298
ALG-AVA-601-37,0,693016291304
ALG-AVA-601-38,0,693016291311
ALG-AVA-601-39,0,693016291328
ALG-AVA-601-40,0,693016291335
ALG-AVA-601-41,0,693016291342
ALG-AVA-601-42,0,693016291359
ALG-AVR-601-35,7,693016291120
ALG-AVR-601-36,16,693016291137
ALG-AVR-601-37,0,693016291144
ALG-AVR-601-38,0,693016291151
ALG-AVR-601-39,0,693016291168
ALG-AVR-601-40,0,693016291175
ALG-AVR-601-41,0,693016291182
ALG-AVR-601-42,0,693016291199
ALG-BEL-101-35,48,693016288908
ALG-BEL-101-36,172,693016288915
ALG-BEL-101-37,237,693016288922
ALG-BEL-101-38,326,693016288939
ALG-BEL-101-39,288,693016288946
ALG-BEL-101-40,156,693016288953
ALG-BEL-101-41,97,693016288960
ALG-BEL-101-42,107,693016288977
ALG-BEL-139-34,0,693016586479
ALG-BEL-139-35,7,693016586486
ALG-BEL-139-36,11,693016586493
ALG-BEL-139-37,22,693016586509
ALG-BEL-139-38,22,693016586516
ALG-BEL-139-39,50,693016586523
ALG-BEL-139-40,26,693016586530
ALG-BEL-139-41,7,693016586547
ALG-BEL-139-42,2,693016586554
ALG-BEL-139-43,0,693016586561
ALG-BEL-180-35,0,693016289226
ALG-BEL-180-36,0,693016289233
ALG-BEL-180-37,0,693016289240
ALG-BEL-180-38,0,693016289257
ALG-BEL-180-39,0,693016289264
ALG-BEL-180-40,0,693016289271
ALG-BEL-180-41,0,693016289288
ALG-BEL-180-42,0,693016289295
ALG-BEL-316-34,0,693016572007
ALG-BEL-316-35,32,693016572014
ALG-BEL-316-36,56,693016572021
ALG-BEL-316-37,64,693016572038
ALG-BEL-316-38,104,693016572045
ALG-BEL-316-39,69,693016572052
ALG-BEL-316-40,27,693016572069
ALG-BEL-316-41,15,693016572076
ALG-BEL-316-42,16,693016572083
ALG-BEL-316-43,0,693016572090
ALG-BEL-384-34,0,693016548323
ALG-BEL-384-35,0,693016548330
ALG-BEL-384-36,0,693016548347
ALG-BEL-384-37,0,693016548354
ALG-BEL-384-38,0,693016548361
ALG-BEL-384-39,0,693016548378
ALG-BEL-384-40,0,693016548385
ALG-BEL-384-41,0,693016548392
ALG-BEL-384-42,0,693016548408
ALG-BEL-384-43,0,693016548415
ALG-BEL-385-34,0,693016548224
ALG-BEL-385-35,0,693016548231
ALG-BEL-385-36,0,693016548248
ALG-BEL-385-37,0,693016548255
ALG-BEL-385-38,0,693016548262
ALG-BEL-385-39,0,693016548279
ALG-BEL-385-40,0,693016548286
ALG-BEL-385-41,0,693016548293
ALG-BEL-385-42,0,693016548309
ALG-BEL-385-43,0,693016548316
ALG-BEL-391-34,0,693016509959
ALG-BEL-391-35,38,693016509966
ALG-BEL-391-36,46,693016509973
ALG-BEL-391-37,0,693016509980
ALG-BEL-391-38,0,693016509997
ALG-BEL-391-39,0,693016510009
ALG-BEL-391-40,0,693016510016
ALG-BEL-391-41,0,693016510023
ALG-BEL-391-42,0,693016510030
ALG-BEL-391-43,0,693016510047
ALG-BEL-433-34,0,693016495009
ALG-BEL-433-35,0,693016495016
