Product SKU,Product UPC,Stock Level
ALG-ARI-346-37,693016580699,80
ALG-ARI-346-38,693016580705,114
ALG-ARI-346-39,693016580712,121
ALG-ARI-346-40,693016580729,92
ALG-ARI-346-41,693016580736,77
ALG-ARI-346-42,693016580743,34
ALG-ARI-346-43,693016580750,0
ALG-ARI-445-35,693016619467,0
ALG-ARI-445-36,693016619474,0
ALG-ARI-445-37,693016619481,0
ALG-ARI-445-38,693016619498,0
ALG-ARI-445-39,693016619504,0
ALG-ARI-445-40,693016619511,0
ALG-ARI-445-41,693016619528,0
ALG-ARI-445-42,693016619535,0
ALG-ARI-445-43,693016619542,0
ALG-ARI-471-35,693016626434,0
ALG-ARI-471-36,693016626441,0
ALG-ARI-471-37,693016626458,0
ALG-ARI-471-38,693016626465,0
ALG-ARI-471-39,693016626472,0
ALG-ARI-471-40,693016626489,0
ALG-ARI-471-41,693016626496,0
ALG-ARI-471-42,693016626502,0
ALG-ARI-471-43,693016626519,0
ALG-ARI-472-35,693016619665,0
ALG-ARI-472-36,693016619672,0
ALG-ARI-472-37,693016619689,0
ALG-ARI-472-38,693016619696,0
ALG-ARI-472-39,693016619702,0
ALG-ARI-472-40,693016619719,0
ALG-ARI-472-41,693016619726,0
ALG-ARI-472-42,693016619733,0
ALG-ARI-472-43,693016619740,0
ALG-ARI-601-34,693016580460,0
ALG-ARI-601-35,693016580477,7
ALG-ARI-601-36,693016580484,0
ALG-ARI-601-37,693016580491,0
ALG-ARI-601-38,693016580507,0
ALG-ARI-601-39,693016580514,0
ALG-ARI-601-40,693016580521,0
ALG-ARI-601-41,693016580538,0
ALG-ARI-601-42,693016580545,0
ALG-ARI-601-43,693016580552,0
ALG-ARI-882-34,693016580569,0
ALG-ARI-882-35,693016580576,12
ALG-ARI-882-36,693016580583,7
ALG-ARI-882-37,693016580590,30
ALG-ARI-882-38,693016580606,38
ALG-ARI-882-39,693016580613,27
ALG-ARI-882-40,693016580620,0
ALG-ARI-882-41,693016580637,0
ALG-ARI-882-42,693016580644,0
ALG-ARI-882-43,693016580651,0
ALG-AVA-101-35,693016291205,0
ALG-AVA-101-36,693016291212,0
ALG-AVA-101-37,693016291229,0
ALG-AVA-101-38,693016291236,0
ALG-AVA-101-39,693016291243,0
ALG-AVA-101-40,693016291250,0
ALG-AVA-101-41,693016291267,0
ALG-AVA-101-42,693016291274,0
ALG-AVA-601-35,693016291281,0
ALG-AVA-601-36,693016291298,0
ALG-AVA-601-37,693016291304,0
ALG-AVA-601-38,693016291311,0
ALG-AVA-601-39,693016291328,0
ALG-AVA-601-40,693016291335,0
ALG-AVA-601-41,693016291342,0
ALG-AVA-601-42,693016291359,0
ALG-AVR-601-35,693016291120,7
