ItemNo,UPCcode,Current_Quantity_Available
ALG-AVA-601,693016291298,0
ALG-AVA-601,693016291304,0
ALG-AVA-601,693016291311,0
ALG-AVA-601,693016291328,0
ALG-AVA-601,693016291335,0
ALG-AVA-601,693016291342,0
ALG-AVA-601,693016291359,0
ALG-AVR-601,693016291120,7
ALG-AVR-601,693016291137,16
ALG-AVR-601,693016291144,0
ALG-AVR-601,693016291151,0
ALG-AVR-601,693016291168,0
ALG-AVR-601,693016291175,0
ALG-AVR-601,693016291182,0
ALG-AVR-601,693016291199,0
ALG-BEL-101,693016288908,54
ALG-BEL-101,693016288915,177
ALG-BEL-101,693016288922,264
ALG-BEL-101,693016288939,367
ALG-BEL-101,693016288946,327
ALG-BEL-101,693016288953,194
ALG-BEL-101,693016288960,109
ALG-BEL-101,693016288977,113
ALG-BEL-139,693016586479,0
ALG-BEL-139,693016586486,13
ALG-BEL-139,693016586493,13
ALG-BEL-139,693016586509,39
ALG-BEL-139,693016586516,54
ALG-BEL-139,693016586523,70
ALG-BEL-139,693016586530,46
ALG-BEL-139,693016586547,19
ALG-BEL-139,693016586554,15
ALG-BEL-139,693016586561,0
ALG-BEL-180,693016289226,0
ALG-BEL-180,693016289233,0
ALG-BEL-180,693016289240,0
ALG-BEL-180,693016289257,0
ALG-BEL-180,693016289264,0
ALG-BEL-180,693016289271,0
ALG-BEL-180,693016289288,0
ALG-BEL-180,693016289295,0
ALG-BEL-316,693016572007,0
ALG-BEL-316,693016572014,32
ALG-BEL-316,693016572021,59
ALG-BEL-316,693016572038,76
ALG-BEL-316,693016572045,124
ALG-BEL-316,693016572052,91
ALG-BEL-316,693016572069,45
ALG-BEL-316,693016572076,30
ALG-BEL-316,693016572083,21
ALG-BEL-316,693016572090,0
ALG-BEL-442,693016586370,0
ALG-BEL-442,693016586387,12
ALG-BEL-442,693016586394,35
ALG-BEL-442,693016586400,96
ALG-BEL-442,693016586417,133
ALG-BEL-442,693016586424,134
ALG-BEL-442,693016586431,87
ALG-BEL-442,693016586448,57
ALG-BEL-442,693016586455,35
ALG-BEL-442,693016586462,0
ALG-BEL-521,693016571901,0
ALG-BEL-521,693016571918,15
ALG-BEL-521,693016571925,31
ALG-BEL-521,693016571932,115
ALG-BEL-521,693016571949,184
ALG-BEL-521,693016571956,177
ALG-BEL-521,693016571963,131
ALG-BEL-521,693016571970,89
ALG-BEL-521,693016571987,55
ALG-BEL-521,693016571994,0
ALG-BEL-780,693016586271,0
ALG-BEL-780,693016586288,28
ALG-BEL-780,693016586295,58
ALG-BEL-780,693016586301,106
ALG-BEL-780,693016586318,187
ALG-BEL-780,693016586325,171
ALG-BEL-780,693016586332,116
ALG-BEL-780,693016586349,69
ALG-BEL-780,693016586356,55
ALG-BEL-780,693016586363,0
ALG-CAM-138,693016594375,0
ALG-CAM-138,693016594382,7
ALG-CAM-138,693016594399,30
ALG-CAM-138,693016594405,61
ALG-CAM-138,693016594412,92
ALG-CAM-138,693016594429,79
ALG-CAM-138,693016594436,52
ALG-CAM-138,693016594443,21
ALG-CAM-138,693016594450,13
ALG-CAM-138,693016594467,0
ALG-CAM-140,693016594474,0
ALG-CAM-140,693016594481,13
ALG-CAM-140,693016594498,51
ALG-CAM-140,693016594504,143
ALG-CAM-140,693016594511,213
ALG-CAM-140,693016594528,183
ALG-CAM-140,693016594535,107
ALG-CAM-140,693016594542,42
ALG-CAM-140,693016594559,32
ALG-CAM-140,693016594566,0
ALG-CAM-252,693016594573,0
ALG-CAM-252,693016594580,17
ALG-CAM-252,693016594597,79
ALG-CAM-252,693016594603,160
ALG-CAM-252,693016594610,228
ALG-CAM-252,693016594627,175
ALG-CAM-252,693016594634,87
ALG-CAM-252,693016594641,41
