SKU,UPC,Description,MSRP,Stock
ALG-ARI-471,693016626496,Ari Oiled Suede Black,189.95,0
ALG-ARI-471,693016626502,Ari Oiled Suede Black,189.95,0
ALG-ARI-471,693016626519,Ari Oiled Suede Black,189.95,0
ALG-ARI-472,693016619665,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619672,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619689,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619696,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619702,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619719,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619726,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619733,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-472,693016619740,Ari Oiled Suede Hazelnut,189.95,0
ALG-ARI-601,693016580460,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-601,693016580477,Ari Black Nappa Waterproof,189.95,7
ALG-ARI-601,693016580484,Ari Black Nappa Waterproof,189.95,4
ALG-ARI-601,693016580491,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-601,693016580507,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-601,693016580514,Ari Black Nappa Waterproof,189.95,5
ALG-ARI-601,693016580521,Ari Black Nappa Waterproof,189.95,3
ALG-ARI-601,693016580538,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-601,693016580545,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-601,693016580552,Ari Black Nappa Waterproof,189.95,0
ALG-ARI-882,693016580569,Ari Hickory Waterproof,189.95,0
ALG-ARI-882,693016580576,Ari Hickory Waterproof,189.95,12
ALG-ARI-882,693016580583,Ari Hickory Waterproof,189.95,7
ALG-ARI-882,693016580590,Ari Hickory Waterproof,189.95,30
ALG-ARI-882,693016580606,Ari Hickory Waterproof,189.95,38
ALG-ARI-882,693016580613,Ari Hickory Waterproof,189.95,27
ALG-ARI-882,693016580620,Ari Hickory Waterproof,189.95,4
ALG-ARI-882,693016580637,Ari Hickory Waterproof,189.95,0
ALG-ARI-882,693016580644,Ari Hickory Waterproof,189.95,0
