Inventory Reference,Inventory Date,Vendor Number,Buyer Part Number,UPC,Product Description,Qty
170714,20170714,1936304,ALG-759,693016569694,Classic Posh Pewter,0,
170714,20170714,1936304,ALG-914,693016533589,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533596,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533602,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533619,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533626,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533633,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533640,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533657,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533664,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-914,693016533671,Classic Burgundy Shearling,0,
170714,20170714,1936304,ALG-919,693016287796,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287802,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287819,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287826,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287833,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287840,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287857,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-919,693016287864,Classic Sophistisnake Multi,0,
170714,20170714,1936304,ALG-998,693016543984,Wedge Footbed - Medium,0,
170714,20170714,1936304,ALG-998,693016543991,Wedge Footbed - Medium,30,
170714,20170714,1936304,ALG-998,693016544004,Wedge Footbed - Medium,77,
170714,20170714,1936304,ALG-998,693016544011,Wedge Footbed - Medium,177,
170714,20170714,1936304,ALG-998,693016544028,Wedge Footbed - Medium,295,
170714,20170714,1936304,ALG-998,693016544035,Wedge Footbed - Medium,307,
170714,20170714,1936304,ALG-998,693016544042,Wedge Footbed - Medium,244,
170714,20170714,1936304,ALG-998,693016544059,Wedge Footbed - Medium,201,
170714,20170714,1936304,ALG-998,693016544066,Wedge Footbed - Medium,157,
170714,20170714,1936304,ALG-998,693016544073,Wedge Footbed - Medium,0,
170714,20170714,1936304,ALG-998G,693016581566,Wedge Footbed In Grey - Medium,0,
170714,20170714,1936304,ALG-998G,693016581573,Wedge Footbed In Grey - Medium,30,
170714,20170714,1936304,ALG-998G,693016581580,Wedge Footbed In Grey - Medium,69,
170714,20170714,1936304,ALG-998G,693016581597,Wedge Footbed In Grey - Medium,214,
170714,20170714,1936304,ALG-998G,693016581603,Wedge Footbed In Grey - Medium,317,
170714,20170714,1936304,ALG-998G,693016581610,Wedge Footbed In Grey - Medium,406,
170714,20170714,1936304,ALG-998G,693016581627,Wedge Footbed In Grey - Medium,335,
170714,20170714,1936304,ALG-998G,693016581634,Wedge Footbed In Grey - Medium,282,
170714,20170714,1936304,ALG-998G,693016581641,Wedge Footbed In Grey - Medium,167,
170714,20170714,1936304,ALG-998G,693016581658,Wedge Footbed In Grey - Medium,0,
170714,20170714,1936304,ALG-998GW,693016584673,Wedge Grey Footbed - Wide,0,
170714,20170714,1936304,ALG-998GW,693016584680,Wedge Grey Footbed - Wide,0,
170714,20170714,1936304,ALG-998GW,693016584697,Wedge Grey Footbed - Wide,88,
170714,20170714,1936304,ALG-998GW,693016584703,Wedge Grey Footbed - Wide,161,
170714,20170714,1936304,ALG-998GW,693016584710,Wedge Grey Footbed - Wide,305,
170714,20170714,1936304,ALG-998GW,693016584727,Wedge Grey Footbed - Wide,343,
170714,20170714,1936304,ALG-998GW,693016584734,Wedge Grey Footbed - Wide,247,
170714,20170714,1936304,ALG-998GW,693016584741,Wedge Grey Footbed - Wide,167,
170714,20170714,1936304,ALG-998GW,693016584758,Wedge Grey Footbed - Wide,31,
170714,20170714,1936304,ALG-998GW,693016584765,Wedge Grey Footbed - Wide,0,
170714,20170714,1936304,ALG-998W,693016502349,Wedge Footbed - Wide,0,
170714,20170714,1936304,ALG-998W,693016502356,Wedge Footbed - Wide,39,
170714,20170714,1936304,ALG-998W,693016502363,Wedge Footbed - Wide,65,
170714,20170714,1936304,ALG-998W,693016502370,Wedge Footbed - Wide,104,
170714,20170714,1936304,ALG-998W,693016502387,Wedge Footbed - Wide,96,
170714,20170714,1936304,ALG-998W,693016502394,Wedge Footbed - Wide,191,
170714,20170714,1936304,ALG-998W,693016502400,Wedge Footbed - Wide,48,
170714,20170714,1936304,ALG-998W,693016502417,Wedge Footbed - Wide,0,
170714,20170714,1936304,ALG-999,693016299843,Classic Footbed - Medium,96,
170714,20170714,1936304,ALG-999,693016299850,Classic Footbed - Medium,0,
170714,20170714,1936304,ALG-999,693016299867,Classic Footbed - Medium,190,
