SKU,Stock,MSRP
ALG-998W_35,0,24.95
ALG-998W_36,42,24.95
ALG-998W_37,65,24.95
ALG-998W_38,105,24.95
ALG-998W_39,99,24.95
ALG-998W_40,193,24.95
ALG-998W_41,48,24.95
ALG-998W_42,0,24.95
ALG-999_35,115,24.95
ALG-999_36,51,24.95
ALG-999_37,326,24.95
ALG-999_38,1091,24.95
ALG-999_39,1503,24.95
ALG-999_40,1367,24.95
ALG-999_41,1812,24.95
ALG-999_42,2038,24.95
ALG-999_34,0,24.95
ALG-999_43,258,24.95
ALG-999G_34,10,24.95
ALG-999G_35,46,24.95
ALG-999G_36,144,24.95
ALG-999G_37,473,24.95
ALG-999G_38,660,24.95
ALG-999G_39,493,24.95
ALG-999G_40,433,24.95
ALG-999G_41,352,24.95
ALG-999G_42,298,24.95
ALG-999G_43,16,24.95
ALG-999GW_34,4,24.95
ALG-999GW_35,0,24.95
ALG-999GW_36,92,24.95
ALG-999GW_37,268,24.95
ALG-999GW_38,368,24.95
ALG-999GW_39,336,24.95
ALG-999GW_40,288,24.95
ALG-999GW_41,236,24.95
ALG-999GW_42,170,24.95
ALG-999GW_43,61,24.95
ALG-999W_35,27,24.95
ALG-999W_36,904,24.95
ALG-999W_37,1821,24.95
ALG-999W_38,2807,24.95
ALG-999W_39,2995,24.95
ALG-999W_40,2676,24.95
ALG-999W_41,1348,24.95
ALG-999W_42,1504,24.95
ALG-999W_34,0,24.95
ALG-999W_43,8,24.95
ALG-ALL-011_34,0,69.00
ALG-ALL-011_35,0,69.00
ALG-ALL-011_36,0,69.00
ALG-ALL-011_37,0,69.00
ALG-ALL-011_38,0,69.00
ALG-ALL-011_39,0,69.00
ALG-ALL-011_40,0,69.00
ALG-ALL-011_41,0,69.00
ALG-ALL-011_42,0,69.00
ALG-ALL-011_43,0,69.00
ALG-ALL-386_35,0,69.00
ALG-ALL-386_36,0,69.00
ALG-ALL-386_37,0,69.00
ALG-ALL-386_38,0,69.00
ALG-ALL-386_39,0,69.00
ALG-ALL-386_40,0,69.00
ALG-ALL-386_41,0,69.00
ALG-ALL-386_42,0,69.00
ALG-ALL-413_35,0,129.95
ALG-ALL-413_36,0,129.95
ALG-ALL-413_37,0,129.95
ALG-ALL-413_38,0,129.95
ALG-ALL-413_39,0,129.95
ALG-ALL-413_40,0,129.95
ALG-ALL-413_41,0,129.95
ALG-ALL-413_42,0,129.95
ALG-ALL-413_43,0,129.95
ALG-ALL-431_34,0,129.95
ALG-ALL-431_35,11,129.95
ALG-ALL-431_36,20,129.95
ALG-ALL-431_37,63,129.95
ALG-ALL-431_38,115,129.95
ALG-ALL-431_39,105,129.95
ALG-ALL-431_40,91,129.95
ALG-ALL-431_41,75,129.95
ALG-ALL-431_42,40,129.95
ALG-ALL-431_43,0,129.95
ALG-ALL-433_34,0,69.00
ALG-ALL-433_35,0,69.00
ALG-ALL-433_36,0,69.00
ALG-ALL-433_37,0,69.00
ALG-ALL-433_38,0,69.00
ALG-ALL-433_39,0,69.00
ALG-ALL-433_40,0,69.00
ALG-ALL-433_41,0,69.00
ALG-ALL-433_42,0,69.00
ALG-ALL-433_43,0,69.00
ALG-ALL-554_34,0,129.95
ALG-ALL-554_35,0,129.95
ALG-ALL-554_36,0,129.95
ALG-ALL-554_37,0,129.95
ALG-ALL-554_38,0,129.95
ALG-ALL-554_39,0,129.95
ALG-ALL-554_40,0,129.95
ALG-ALL-554_41,0,129.95
ALG-ALL-554_42,0,129.95
ALG-ALL-554_43,0,129.95
ALG-ALL-571_35,144,129.95
ALG-ALL-571_36,91,129.95
ALG-ALL-571_37,246,129.95
ALG-ALL-571_38,301,129.95
ALG-ALL-571_39,236,129.95
ALG-ALL-571_40,135,129.95
ALG-ALL-571_41,64,129.95
ALG-ALL-571_42,22,129.95
ALG-ALL-574_34,0,129.95
ALG-ALL-574_35,7,129.95
ALG-ALL-574_36,56,129.95
ALG-ALL-574_37,86,129.95
ALG-ALL-574_38,101,129.95
ALG-ALL-574_39,125,129.95
ALG-ALL-574_40,36,129.95
ALG-ALL-574_41,11,129.95
ALG-ALL-574_42,8,129.95
ALG-ALL-574_43,0,129.95
ALG-ALL-576_34,0,129.95
ALG-ALL-576_35,15,129.95
ALG-ALL-576_36,40,129.95
ALG-ALL-576_37,73,129.95
ALG-ALL-576_38,119,129.95
ALG-ALL-576_39,113,129.95
ALG-ALL-576_40,97,129.95
ALG-ALL-576_41,55,129.95
ALG-ALL-576_42,27,129.95
ALG-ALL-576_43,0,129.95
ALG-ALL-640_35,0,129.95
ALG-ALL-640_36,0,129.95
ALG-ALL-640_37,0,129.95
ALG-ALL-640_38,0,129.95
ALG-ALL-640_39,0,129.95
ALG-ALL-640_40,0,129.95
ALG-ALL-640_41,0,129.95
ALG-ALL-640_42,0,129.95
ALG-ALL-640_43,0,129.95
ALG-ALL-741_34,0,69.00
ALG-ALL-741_35,0,69.00
ALG-ALL-741_36,0,69.00
ALG-ALL-741_37,0,69.00
ALG-ALL-741_38,0,69.00
ALG-ALL-741_39,0,69.00
ALG-ALL-741_40,0,69.00
ALG-ALL-741_41,0,69.00
ALG-ALL-741_42,0,69.00
ALG-ALL-741_43,0,69.00
ALG-ALR-471_35,0,189.95
ALG-ALR-471_36,0,189.95
ALG-ALR-471_37,0,189.95
ALG-ALR-471_38,0,189.95
ALG-ALR-471_39,0,189.95
ALG-ALR-471_40,0,189.95
ALG-ALR-471_41,0,189.95
ALG-ALR-471_42,0,189.95
ALG-ALR-471_43,0,189.95
ALG-ARI-147_35,0,189.95
ALG-ARI-147_36,0,189.95
ALG-ARI-147_37,0,189.95
ALG-ARI-147_38,0,189.95
ALG-ARI-147_39,0,189.95
ALG-ARI-147_40,0,189.95
ALG-ARI-147_41,0,189.95
ALG-ARI-147_42,0,189.95
ALG-ARI-147_43,0,189.95
ALG-ARI-346_34,0,189.95
ALG-ARI-346_35,19,189.95
ALG-ARI-346_36,60,189.95
ALG-ARI-346_37,86,189.95
ALG-ARI-346_38,125,189.95
ALG-ARI-346_39,133,189.95
ALG-ARI-346_40,104,189.95
ALG-ARI-346_41,84,189.95
ALG-ARI-346_42,37,189.95
ALG-ARI-346_43,0,189.95
ALG-ARI-445_35,0,189.95
ALG-ARI-445_36,0,189.95
ALG-ARI-445_37,0,189.95
ALG-ARI-445_38,0,189.95
ALG-ARI-445_39,0,189.95
ALG-ARI-445_40,0,189.95
ALG-ARI-445_41,0,189.95
ALG-ARI-445_42,0,189.95
ALG-ARI-445_43,0,189.95
ALG-ARI-471_35,0,189.95
ALG-ARI-471_36,0,189.95
ALG-ARI-471_37,0,189.95
ALG-ARI-471_38,0,189.95
ALG-ARI-471_39,0,189.95
ALG-ARI-471_40,0,189.95
ALG-ARI-471_41,0,189.95
ALG-ARI-471_42,0,189.95
ALG-ARI-471_43,0,189.95
ALG-ARI-472_35,0,189.95
ALG-ARI-472_36,0,189.95
ALG-ARI-472_37,0,189.95
ALG-ARI-472_38,0,189.95
ALG-ARI-472_39,0,189.95
ALG-ARI-472_40,0,189.95
ALG-ARI-472_41,0,189.95
ALG-ARI-472_42,0,189.95
ALG-ARI-472_43,0,189.95
ALG-ARI-601_34,0,189.95
ALG-ARI-601_35,7,189.95
ALG-ARI-601_36,4,189.95
ALG-ARI-601_37,0,189.95
ALG-ARI-601_38,0,189.95
ALG-ARI-601_39,5,189.95
ALG-ARI-601_40,3,189.95
ALG-ARI-601_41,0,189.95
ALG-ARI-601_42,0,189.95
ALG-ARI-601_43,0,189.95
ALG-ARI-882_34,0,189.95
ALG-ARI-882_35,12,189.95
ALG-ARI-882_36,7,189.95
ALG-ARI-882_37,35,189.95
ALG-ARI-882_38,50,189.95
ALG-ARI-882_39,45,189.95
ALG-ARI-882_40,22,189.95
ALG-ARI-882_41,0,189.95
ALG-ARI-882_42,0,189.95
ALG-ARI-882_43,0,189.95
ALG-ASH-661_34,0,69.00
ALG-ASH-661_35,0,69.00
ALG-ASH-661_36,0,69.00
ALG-ASH-661_37,0,69.00
ALG-ASH-661_38,0,69.00
